wavelength value1 value2
775.8813400 1.5979788 168.0000000
775.9258020 1.5978873 187.0000000
775.9702640 1.5977957 185.0000000
776.0147260 1.5977042 186.0000000
776.0591880 1.5976126 188.0000000
776.1036500 1.5975211 167.0000000
776.1481120 1.5974296 192.0000000
776.1925740 1.5973381 174.0000000
776.2370360 1.5972466 185.0000000
776.2814980 1.5971551 178.0000000
776.3259600 1.5970636 177.0000000
776.3704220 1.5969722 187.0000000
776.4148840 1.5968807 170.0000000
776.4593460 1.5967893 189.0000000
776.5038080 1.5966979 190.0000000
776.5482700 1.5966064 174.0000000
776.5927320 1.5965150 173.0000000
776.6371940 1.5964236 193.0000000
776.6816560 1.5963322 180.0000000
776.7261180 1.5962409 182.0000000
776.7705800 1.5961495 178.0000000
776.8150420 1.5960581 180.0000000
776.8595040 1.5959668 174.0000000
776.9039660 1.5958755 189.0000000
776.9484280 1.5957841 185.0000000
776.9928900 1.5956928 185.0000000
777.0373520 1.5956015 187.0000000
777.0818140 1.5955102 181.0000000
777.1262760 1.5954189 177.0000000
777.1707380 1.5953277 192.0000000
777.2152000 1.5952364 186.0000000
777.2596620 1.5951451 191.0000000
777.3041240 1.5950539 178.0000000
777.3485860 1.5949627 180.0000000
777.3930480 1.5948714 190.0000000
777.4375100 1.5947802 181.0000000
777.4819720 1.5946890 185.0000000
777.5264340 1.5945978 180.0000000
777.5708960 1.5945067 193.0000000
777.6153580 1.5944155 177.0000000
777.6598200 1.5943243 179.0000000
777.7042820 1.5942332 187.0000000
777.7487440 1.5941420 183.0000000
777.7932060 1.5940509 187.0000000
777.8376680 1.5939598 176.0000000
777.8821300 1.5938687 191.0000000
777.9265920 1.5937776 184.0000000
777.9710540 1.5936865 176.0000000
778.0155160 1.5935954 176.0000000
778.0599780 1.5935044 193.0000000
778.1044400 1.5934133 197.0000000
778.1489020 1.5933223 186.0000000
778.1933640 1.5932312 176.0000000
778.2378260 1.5931402 180.0000000
778.2822880 1.5930492 177.0000000
778.3267500 1.5929582 188.0000000
778.3712120 1.5928672 186.0000000
778.4156740 1.5927762 183.0000000
778.4601360 1.5926852 192.0000000
778.5045980 1.5925943 214.0000000
778.5490600 1.5925033 178.0000000
778.5935220 1.5924124 189.0000000
778.6379840 1.5923215 188.0000000
778.6824460 1.5922305 192.0000000
778.7269080 1.5921396 190.0000000
778.7713700 1.5920487 186.0000000
778.8158320 1.5919578 191.0000000
778.8602940 1.5918670 188.0000000
778.9047560 1.5917761 196.0000000
778.9492180 1.5916852 188.0000000
778.9936800 1.5915944 191.0000000
779.0381420 1.5915036 188.0000000
779.0826040 1.5914127 173.0000000
779.1270660 1.5913219 189.0000000
779.1715280 1.5912311 194.0000000
779.2159900 1.5911403 193.0000000
779.2604520 1.5910495 180.0000000
779.3049140 1.5909587 192.0000000
779.3493760 1.5908680 193.0000000
779.3938380 1.5907772 195.0000000
779.4383000 1.5906865 189.0000000
779.4827620 1.5905958 185.0000000
779.5272240 1.5905050 191.0000000
779.5716860 1.5904143 181.0000000
779.6161480 1.5903236 190.0000000
779.6606100 1.5902329 186.0000000
779.7050720 1.5901422 186.0000000
779.7495340 1.5900516 195.0000000
779.7939960 1.5899609 192.0000000
779.8384580 1.5898703 206.0000000
779.8829200 1.5897796 204.0000000
779.9273820 1.5896890 188.0000000
779.9718440 1.5895984 186.0000000
780.0163060 1.5895078 193.0000000
780.0607680 1.5894172 189.0000000
780.1052300 1.5893266 197.0000000
780.1496920 1.5892360 192.0000000
780.1941540 1.5891454 186.0000000
780.2386160 1.5890549 199.0000000
780.2830780 1.5889643 189.0000000
780.3275400 1.5888738 177.0000000
780.3720020 1.5887833 186.0000000
780.4164640 1.5886927 187.0000000
780.4609260 1.5886022 193.0000000
780.5053880 1.5885117 197.0000000
780.5498500 1.5884213 185.0000000
780.5943120 1.5883308 203.0000000
780.6387740 1.5882403 189.0000000
780.6832360 1.5881499 195.0000000
780.7276980 1.5880594 212.0000000
780.7721600 1.5879690 179.0000000
780.8166220 1.5878786 198.0000000
780.8610840 1.5877881 183.0000000
780.9055460 1.5876977 193.0000000
780.9500080 1.5876073 194.0000000
780.9944700 1.5875170 187.0000000
781.0389320 1.5874266 197.0000000
781.0833940 1.5873362 190.0000000
781.1278560 1.5872459 192.0000000
781.1723180 1.5871555 190.0000000
781.2167800 1.5870652 194.0000000
781.2612420 1.5869749 195.0000000
781.3057040 1.5868846 210.0000000
781.3501660 1.5867943 208.0000000
781.3946280 1.5867040 201.0000000
781.4390900 1.5866137 192.0000000
781.4835520 1.5865234 194.0000000
781.5280140 1.5864332 189.0000000
781.5724760 1.5863429 196.0000000
781.6169380 1.5862527 192.0000000
781.6614000 1.5861625 191.0000000
781.7058620 1.5860722 198.0000000
781.7503240 1.5859820 199.0000000
781.7947860 1.5858918 190.0000000
781.8392480 1.5858017 199.0000000
781.8837100 1.5857115 211.0000000
781.9281720 1.5856213 204.0000000
781.9726340 1.5855312 202.0000000
782.0170960 1.5854410 206.0000000
782.0615580 1.5853509 189.0000000
782.1060200 1.5852607 193.0000000
782.1504820 1.5851706 200.0000000
782.1949440 1.5850805 203.0000000
782.2394060 1.5849904 189.0000000
782.2838680 1.5849003 221.0000000
782.3283300 1.5848103 200.0000000
782.3727920 1.5847202 192.0000000
782.4172540 1.5846301 213.0000000
782.4617160 1.5845401 222.0000000
782.5061780 1.5844501 205.0000000
782.5506400 1.5843600 196.0000000
782.5951020 1.5842700 190.0000000
782.6395640 1.5841800 187.0000000
782.6840260 1.5840900 199.0000000
782.7284880 1.5840001 190.0000000
782.7729500 1.5839101 212.0000000
782.8174120 1.5838201 217.0000000
782.8618740 1.5837302 211.0000000
782.9063360 1.5836402 211.0000000
782.9507980 1.5835503 203.0000000
782.9952600 1.5834604 191.0000000
783.0397220 1.5833705 210.0000000
783.0841840 1.5832806 193.0000000
783.1286460 1.5831907 210.0000000
783.1731080 1.5831008 196.0000000
783.2175700 1.5830109 186.0000000
783.2620320 1.5829211 209.0000000
783.3064940 1.5828312 219.0000000
783.3509560 1.5827414 201.0000000
783.3954180 1.5826515 214.0000000
783.4398800 1.5825617 188.0000000
783.4843420 1.5824719 202.0000000
783.5288040 1.5823821 211.0000000
783.5732660 1.5822923 216.0000000
783.6177280 1.5822026 218.0000000
783.6621900 1.5821128 206.0000000
783.7066520 1.5820230 194.0000000
783.7511140 1.5819333 205.0000000
783.7955760 1.5818435 205.0000000
783.8400380 1.5817538 214.0000000
783.8845000 1.5816641 199.0000000
783.9289620 1.5815744 207.0000000
783.9734240 1.5814847 213.0000000
784.0178860 1.5813950 196.0000000
784.0623480 1.5813053 200.0000000
784.1068100 1.5812157 204.0000000
784.1512720 1.5811260 225.0000000
784.1957340 1.5810364 213.0000000
784.2401960 1.5809467 221.0000000
784.2846580 1.5808571 218.0000000
784.3291200 1.5807675 206.0000000
784.3735820 1.5806779 217.0000000
784.4180440 1.5805883 218.0000000
784.4625060 1.5804987 210.0000000
784.5069680 1.5804091 213.0000000
784.5514300 1.5803196 198.0000000
784.5958920 1.5802300 196.0000000
784.6403540 1.5801405 216.0000000
784.6848160 1.5800509 197.0000000
784.7292780 1.5799614 226.0000000
784.7737400 1.5798719 212.0000000
784.8182020 1.5797824 207.0000000
784.8626640 1.5796929 192.0000000
784.9071260 1.5796034 211.0000000
784.9515880 1.5795139 224.0000000
784.9960500 1.5794245 221.0000000
785.0405120 1.5793350 220.0000000
785.0849740 1.5792456 206.0000000
785.1294360 1.5791561 218.0000000
785.1738980 1.5790667 216.0000000
785.2183600 1.5789773 221.0000000
785.2628220 1.5788879 206.0000000
785.3072840 1.5787985 219.0000000
785.3517460 1.5787091 230.0000000
785.3962080 1.5786198 237.0000000
785.4406700 1.5785304 232.0000000
785.4851320 1.5784410 243.0000000
785.5295940 1.5783517 213.0000000
785.5740560 1.5782624 217.0000000
785.6185180 1.5781730 233.0000000
785.6629800 1.5780837 231.0000000
785.7074420 1.5779944 246.0000000
785.7519040 1.5779051 237.0000000
785.7963660 1.5778159 235.0000000
785.8408280 1.5777266 232.0000000
785.8852900 1.5776373 220.0000000
785.9297520 1.5775481 250.0000000
785.9742140 1.5774588 227.0000000
786.0186760 1.5773696 233.0000000
786.0631380 1.5772804 243.0000000
786.1076000 1.5771912 222.0000000
786.1520620 1.5771020 230.0000000
786.1965240 1.5770128 242.0000000
786.2409860 1.5769236 235.0000000
786.2854480 1.5768344 231.0000000
786.3299100 1.5767453 230.0000000
786.3743720 1.5766561 239.0000000
786.4188340 1.5765670 254.0000000
786.4632960 1.5764779 232.0000000
786.5077580 1.5763887 226.0000000
786.5522200 1.5762996 231.0000000
786.5966820 1.5762105 239.0000000
786.6411440 1.5761214 242.0000000
786.6856060 1.5760324 234.0000000
786.7300680 1.5759433 234.0000000
786.7745300 1.5758542 244.0000000
786.8189920 1.5757652 244.0000000
786.8634540 1.5756761 244.0000000
786.9079160 1.5755871 243.0000000
786.9523780 1.5754981 238.0000000
786.9968400 1.5754091 247.0000000
787.0413020 1.5753201 208.0000000
787.0857640 1.5752311 255.0000000
787.1302260 1.5751421 251.0000000
787.1746880 1.5750531 264.0000000
787.2191500 1.5749642 262.0000000
787.2636120 1.5748752 252.0000000
787.3080740 1.5747863 248.0000000
787.3525360 1.5746974 253.0000000
787.3969980 1.5746085 258.0000000
787.4414600 1.5745195 261.0000000
787.4859220 1.5744306 255.0000000
787.5303840 1.5743418 280.0000000
787.5748460 1.5742529 253.0000000
787.6193080 1.5741640 260.0000000
787.6637700 1.5740752 264.0000000
787.7082320 1.5739863 261.0000000
787.7526940 1.5738975 263.0000000
787.7971560 1.5738086 251.0000000
787.8416180 1.5737198 258.0000000
787.8860800 1.5736310 257.0000000
787.9305420 1.5735422 268.0000000
787.9750040 1.5734534 265.0000000
788.0194660 1.5733646 251.0000000
788.0639280 1.5732759 255.0000000
788.1083900 1.5731871 275.0000000
788.1528520 1.5730984 273.0000000
788.1973140 1.5730096 265.0000000
788.2417760 1.5729209 279.0000000
788.2862380 1.5728322 278.0000000
788.3307000 1.5727435 283.0000000
788.3751620 1.5726548 265.0000000
788.4196240 1.5725661 290.0000000
788.4640860 1.5724774 296.0000000
788.5085480 1.5723887 270.0000000
788.5530100 1.5723001 271.0000000
788.5974720 1.5722114 301.0000000
788.6419340 1.5721228 280.0000000
788.6863960 1.5720342 284.0000000
788.7308580 1.5719456 290.0000000
788.7753200 1.5718570 263.0000000
788.8197820 1.5717684 297.0000000
788.8642440 1.5716798 309.0000000
788.9087060 1.5715912 296.0000000
788.9531680 1.5715026 322.0000000
788.9976300 1.5714141 292.0000000
789.0420920 1.5713255 314.0000000
789.0865540 1.5712370 299.0000000
789.1310160 1.5711484 308.0000000
